drive,path,category,status,evidence,reason,risk_level,recommended_action,dependency,notes
C:,C:\Users\farid\Documents\Frecuencia Global,repo activo,ACTIVE_VERIFIED_EXISTS,07_Operaciones/ROOT_OPENING_STANDARD.md;07_Operaciones/WINDSURF_BOOTSTRAP_SNAPSHOT_20260425.md; spot-check Test-Path,Raiz canonica del proyecto operativo en Documents,MANTENER,mantener como workspace principal + git,repo_ops,Evidencia local: carpeta existe
C:,C:\Users\farid\Documents\Frecuencia Global\website\dist,website/build,ACTIVE_VERIFIED_EXISTS,spot-check Test-Path,Artefactos de build Astro en repo local,MANTENER,mantener como output local de desarrollo/build,website,NO VERIFICADO EN FUENTE LOCAL si coincide con ultimo deploy remoto
C:,C:\Users\farid\Documents\Frecuencia Global\website\.astro,website/build,ACTIVE_VERIFIED_EXISTS,spot-check Test-Path,Cache/tooling local de Astro,BAJA,mantener; regenerable,candidato a migrar,CACHE_LOCAL
C:,C:\Program Files\nodejs\node.exe,dependencias,DOCUMENTED_ONLY,scripts/*;07_Operaciones/SERENA_ENVIRONMENT_DIAGNOSTIC_20260425.md,Runtime Node instalado fuera del repo,MEDIO,BLOQUEAR/no tocar instalacion sistema,windows_runtime,No modificar Windows
C:,C:\Program Files\Google\Chrome\Application\chrome.exe,dependencias,DOCUMENTED_ONLY,scripts/*_chrome*.py;system/REGLA_CHROME_SESIONES_PERSISTENTES.md,Navegador para flujos legacy/manual,BAJA,BLOQUEAR/no tocar instalacion sistema,chrome,Legado fuera del camino API-first
C:,C:\Users\farid\AppData\Roaming\Code\User\mcp\oraios.serena-1.0.0\,zona sensible,DOCUMENTED_ONLY,07_Operaciones/SERENA_ENVIRONMENT_DIAGNOSTIC_20260425.md,Instalacion/config de herramienta Serena (MCP),ALTO,BLOQUEAR/no tocar,serena_tooling,Fuera del repo FG
D:,D:\FrecuenciaGlobal,repo activo,ACTIVE_VERIFIED_EXISTS,07_Operaciones/ROOT_OPENING_STANDARD.md;07_Operaciones/WINDSURF_CONTEXT_FG.md; spot-check Test-Path,Raiz externa declarada para assets pesados + tooling,ALTO,mantener; no abrir workspace duplicado como fuente canonica,d_drive_ops,Spot-check: carpetas 04_Produccion y 06_Assets existen aqui tambien
D:,D:\FrecuenciaGlobal\04_Produccion,backups,ACTIVE_VERIFIED_EXISTS,spot-check Test-Path,Replica/duplicado estructural vs C: repo,MEDIO,candidato a documentar drift y decidir source-of-truth,repo_ops,Evitar editar dos arboles sin protocolo
D:,D:\FrecuenciaGlobal\06_Assets,backups,ACTIVE_VERIFIED_EXISTS,spot-check Test-Path,Replica/duplicado estructural vs C: repo,MEDIO,candidato a documentar drift vs 06_Assets canonico,assets_ops,Alto riesgo de divergencia
D:,D:\FrecuenciaGlobal\AV,assets audiovisuales,ACTIVE_VERIFIED_EXISTS,07_Operaciones/WINDSURF_CONTEXT_FG.md;04_Produccion/Detroit/visual_curation/DETROIT_FEATURED_REDESIGN_REPORT_20260425.md; spot-check Test-Path,Staging audiovisual y lotes por pieza,ALTO,mantener como deposito pesado; mapear consumidores,ComfyUI|revision_humana,NO escanear profundo en D07
D:,D:\FrecuenciaGlobal\AV\Detroit\D07_Featured_Redesign,assets audiovisuales,DOCUMENTED_ONLY,04_Produccion/Detroit/visual_curation/DETROIT_FEATURED_REDESIGN_REPORT_20260425.md,Lote candidatos featured Detroit,MEDIO,candidato a migrar futura consolidacion si se duplica con repo,ComfyUI,Existencia de archivos individuales NO VERIFICADO EN FUENTE LOCAL en D07
D:,D:\FrecuenciaGlobal\AV\BassAndBorders\D07_Cards_v2,assets audiovisuales,DOCUMENTED_ONLY,scripts/d07_bb_cards_v2.py,Salida staging cards Bass & Borders,MEDIO,documentar manifest y relacion con website/public/images/articles,bass_borders,NO ejecutar scripts en D07
