piece_id,pillar,editorial_status,editorial_path,c_assets_path,d_assets_path,comfyui_output_path,website_image_path,website_integration_status,drift_risk,recommended_action,dependency,notes
P1_001,P1,PUBLISHED_MULTI,03_Editorial/P1_001_PublishReady.md,06_Assets/P1_001/ (EXPORT_MANIFEST_P1_001.json presente; PNG no verificados en tree local),D:\FrecuenciaGlobal\06_Assets\ (sin subcarpeta P1_001 verificada),D:\FrecuenciaGlobal\ComfyUI\output; D:\ComfyUI\output,NO_VERIFICADO_EN_WEBSITE (social-first),EXTERNAL_PUBLISH_WITHOUT_WEB_ASSETS_MANIFEST,ALTO,Definir fuente de verdad de PNG del carrusel (repo vs D:) y actualizar manifest sin mover archivos todavía,pipeline_tracker.json; EXPORT_MANIFEST_P1_001.json,Pipeline nota: faltan en repo 8 PNG nombrados en manifiesto
P1_002,P1,APPROVAL_PENDING (pipeline) vs COMPLETED (matriz),04_Produccion/P1_002_PublishReady.md,06_Assets/P1_002/ (solo ASSETS_MANIFEST.md),D:\FrecuenciaGlobal\06_Assets\ (sin subcarpeta P1_002 verificada),D:\FrecuenciaGlobal\ComfyUI\output; D:\ComfyUI\output,NO_VERIFICADO_EN_WEBSITE (social-first),EXTERNAL_PUBLISH_STATE_DRIFT,CRITICO,Resolver drift de estado con evidencia operativa antes de reconciliar assets,pipeline_tracker.json; PIECE_STATUS_MATRIX.md,Manifest sin binarios locales; posible drift Notion/Gov (referencias en ops)
P1_003,P1,BRIEF_READY,03_Editorial/P1_003_Brief.md,NO_VERIFICADO_EN_FUENTE_LOCAL (no existe 06_Assets/P1_003/),NO_VERIFICADO_EN_FUENTE_LOCAL,D:\FrecuenciaGlobal\ComfyUI\output; D:\ComfyUI\output,NO_VERIFICADO_EN_WEBSITE,NOT_STARTED,MEDIO,Mantener brief-only hasta existan outputs seleccionados y carpeta manifest,pipeline_tracker.json,Pipeline siguiente vs P1_004 (orden mecánico)
P1_004,P1,BRIEF_READY,03_Editorial/P1_004_Brief.md,NO_VERIFICADO_EN_FUENTE_LOCAL (no existe 06_Assets/P1_004/),NO_VERIFICADO_EN_FUENTE_LOCAL,D:\FrecuenciaGlobal\ComfyUI\output; D:\ComfyUI\output,NO_VERIFICADO_EN_WEBSITE,NOT_STARTED,MEDIO,No expandir asset tree hasta cerrar P1_003,pipeline_tracker.json,En cola tras P1_003
EP_001,SHOW,PUBLISH_READY_BLOCKED_AV,04_Produccion/EP_001_PublishReady.md,NO_VERIFICADO_EN_FUENTE_LOCAL (no existe carpeta EP_001 local),NO_VERIFICADO_EN_FUENTE_LOCAL,NO_VERIFICADO_EN_FUENTE_LOCAL (master AV fuera de alcance),NO_VERIFICADO_EN_WEBSITE,BLOCKED_AUDIO_VIDEO,ALTO,Bloquear integración web hasta master audio + thumbnail + imagen social,pipeline_tracker.json,Metadata YT referenciada por tracker pero carpeta EP_001 no existe en C:
EP_002,SHOW,PUBLISH_READY_BLOCKED_AV,04_Produccion/EP_002_PublishReady.md,NO_VERIFICADO_EN_FUENTE_LOCAL (no existe carpeta EP_002 local),NO_VERIFICADO_EN_FUENTE_LOCAL,NO_VERIFICADO_EN_FUENTE_LOCAL,NO_VERIFICADO_EN_WEBSITE,BLOCKED_AUDIO_VIDEO,ALTO,Idem EP_001; cerrar backlog AV antes de web,pipeline_tracker.json,Bloqueantes explícitos en tracker
FG_001,P1,SANDBOX_EDITORIAL_DRAFT,NO_VERIFICADO_EN_FUENTE_LOCAL (no existe FG_001_PublishReady.md),NO_VERIFICADO_EN_FUENTE_LOCAL,NO_VERIFICADO_EN_FUENTE_LOCAL,D:\FrecuenciaGlobal\ComfyUI\output; D:\ComfyUI\output,NO_VERIFICADO_EN_WEBSITE,SANDBOX_ONLY,ALTO,Corregir referencias editoriales o crear PublishReady real para evitar falsos positivos,PIECE_STATUS_MATRIX.md,Matriz enlaza archivo inexistente
MVP_01,P1,PUBLISHED,04_Produccion/MVP_01_PublishReady.md,06_Assets/MVP_01/ (VisualBrief.md; PNG no verificados localmente),NO_VERIFICADO_EN_FUENTE_LOCAL (no existe D:\FrecuenciaGlobal\06_Assets\MVP_01),D:\FrecuenciaGlobal\ComfyUI\output; D:\ComfyUI\output,NO_VERIFICADO_EN_WEBSITE (social-first),EXTERNAL_ONLY,ALTO,Documentar naming real en D: vs repo; recuperar manifests referenciados por tracker,swarm_mvp_tracker.json,Candidatos temáticos en ComfyUI output (submarine/data routes) sin hard-link mecánico
MVP_02,P1,PUBLISHED,04_Produccion/MVP_02_PublishReady.md,NO_VERIFICADO_EN_FUENTE_LOCAL (no existe 06_Assets/MVP_02/),NO_VERIFICADO_EN_FUENTE_LOCAL,D:\FrecuenciaGlobal\ComfyUI\output; D:\ComfyUI\output,NO_VERIFICADO_EN_WEBSITE (social-first),EXTERNAL_ONLY,ALTO,Idem MVP_01; ASSETS_MANIFEST ausente en repo,swarm_mvp_tracker.json; PIECE_STATUS_MATRIX.md,Candidatos temáticos en ComfyUI output (semiconductor_supply_chain)
MVP_03,P1,PUBLISHED,04_Produccion/MVP_03_PublishReady.md,NO_VERIFICADO_EN_FUENTE_LOCAL (no existe 06_Assets/MVP_03/),NO_VERIFICADO_EN_FUENTE_LOCAL,D:\FrecuenciaGlobal\ComfyUI\output; D:\ComfyUI\output,NO_VERIFICADO_EN_WEBSITE (social-first),EXTERNAL_ONLY,ALTO,Idem MVP_01; ASSETS_MANIFEST ausente en repo,swarm_mvp_tracker.json; PIECE_STATUS_MATRIX.md,Outputs presentes en D: como depósito; integración web no aplicable hoy
