path,category,risk_level,recommended_action,commit_candidate,ignore_candidate,move_candidate,evidence,notes
.claude/worktrees/crazy-gagarin/.claude/settings.local.json,zona sensible/no tocar,high,no_touch,no,no,no,path_sensitive_token,No abrir en D14; política manual
.claude/worktrees/crazy-gagarin/.env.example,ops legítimo,low,review_template_commit_maybe,maybe,no,no,env_template_path,Validar fuera de secretos antes de commit
.claude/worktrees/crazy-gagarin/.github/agents/audio-producer.agent.md,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
.claude/worktrees/crazy-gagarin/.github/agents/supervisor.agent.md,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
.claude/worktrees/crazy-gagarin/.github/agents/video-producer.agent.md,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
.claude/worktrees/crazy-gagarin/.github/agents/visual-creator.agent.md,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
.claude/worktrees/crazy-gagarin/.github/instructions/fg-brand-context.instructions.md,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
.claude/worktrees/crazy-gagarin/.gitignore,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
.claude/worktrees/crazy-gagarin/.vscode/mcp.json,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
.claude/worktrees/crazy-gagarin/.webhook-trigger,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
.claude/worktrees/crazy-gagarin/01_Estrategia/FG_Blueprint_Maestro.html,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
.claude/worktrees/crazy-gagarin/01_Estrategia/FG_Blueprint_Maestro.md,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
.claude/worktrees/crazy-gagarin/01_Estrategia/FG_Checkpoint_2026-03-30.md,IDE/agent state,medium,ignore,no,yes,maybe,editor_or_agent_tree,Alto volumen bajo .claude
