date,task_id,title,organo,piece_id,input_required,output_expected,done_definition,dependency,status,notes
2026-04-27,D04-ED-001,Checklist editorial Detroit v1,Editorial,Detroit,DAY04_EDITORIAL_BACKLOG_20260425.md + articulo Detroit local,Checklist editorial con estructura claims tono,Checklist guardado en repo sin campos vacios,revision_humana,READY,Base para D05
2026-04-27,D04-OPS-001,Registro QA editorial Detroit,Operaciones / QA,Detroit,Checklist editorial v1 + matriz de piezas,Hallazgos QA priorizados,Hallazgos con severidad accion y responsable,revision_humana,READY,Sin publicar
2026-04-28,D05-OPS-001,Cerrar QA editorial Detroit,Operaciones / QA,Detroit,Checklist y hallazgos D04,Cierre QA editorial Detroit,Estado QA_EDITORIAL_CERRADO documentado,revision_humana,READY,Tarea obligatoria D05
2026-04-28,D05-ED-001,Ajustes editoriales Detroit post QA,Editorial,Detroit,QA editorial cerrado,Lista de ajustes editoriales aplicables,Ajustes aceptados/rechazados con razon,revision_humana,READY,Sin tocar plataformas
2026-04-28,D05-WEB-001,Alinear fuente web local Detroit,Website / Astro,Detroit,Ajustes editoriales aprobados,Articulo web local alineado,Frontmatter y cuerpo validados contra checklist,website,READY,Sin deploy
2026-04-29,D06-DIS-001,Definir naming final de assets visuales,Diseno / visuales / ComfyUI,Detroit,Inventario assets Detroit + variantes ComfyUI,Convencion unica de nombres aplicada,Manifiesto local actualizado con naming final,ComfyUI,READY,Tarea obligatoria D06
2026-04-29,D06-DIS-002,Curar outputs ComfyUI por pieza,Diseno / visuales / ComfyUI,Detroit,Outputs comfy en carpeta local Detroit,Set curado hero card thumb por pieza,Set aprobado con justificacion breve,ComfyUI|revision_humana,READY,Tarea obligatoria D06
2026-04-29,D06-OPS-001,Validar QA visual Detroit,Operaciones / QA,Detroit,Naming y curaduria D06,Resultado QA visual aprobado o bloqueado,QA visual documentado con decision,revision_humana,READY,Sin publicacion
2026-04-30,D07-ED-001,Normalizar brief P1_003,Editorial,P1_003,03_Editorial/P1_003_Brief.md,Brief P1_003 normalizado,Brief con alcance angulo y fuentes iniciales,revision_humana,READY,Pipeline siguiente
2026-04-30,D07-OPS-001,Gate de entrada P1_003,Operaciones / QA,P1_003,Brief normalizado + criterios de gate,Decision go/no-go P1_003,Decision documentada sin ambiguedad,revision_humana,READY,Sin publicar
